,Paragraph
38,"Es ist aber doch eine Formel dieses berühmten, obzwar von allem Inhalt
entblößten und bloß formalen Grundsatzes, die eine Synthesis enthält,
welche aus Unvorsichtigkeit und ganz unnötigerweise in ihr gemischt
worden. Sie heißt: es ist unmöglich, daß etwas zugleich sei und nicht
sei. Außer dem, daß hier die apodiktische Gewißheit (durch das Wort
unmöglich) überflüssigerweise angehängt worden, die sich doch von
selbst aus dem Satz muß verstehen lassen, so ist der Satz durch die
Bedingung der Zeit affiziert, und sagt gleichsam: Ein Ding = A,
welches etwas = B ist, kann nicht zu gleicher Zeit non B sein; aber
es kann gar wohl beides (B sowohl, als non B) nacheinander sein. Z.B.
ein Mensch, der jung ist, kann nicht zugleich alt sein; ebenderselbe
kann aber sehr wohl zu einer Zeit jung, zur anderen nicht-jung, d.i.#
alt sein. Nun muß der Satz des Widerspruchs, als ein bloß logischer
Grundsatz, seine Aussprüche gar nicht auf die Zeitverhältnisse
einschränken, daher ist eine solche Formel der Absicht desselben ganz
zuwider. Der Mißverstand kommt bloß daher: daß man ein Prädikat eines
Dinges zuvörderst von dem Begriff desselben absondert, und nachher
sein Gegenteil mit diesem Prädikate verknüpft, welches niemals einen
Widerspruch mit dem Subjekte, sondern nur mit dessen Prädikate,
welches mit jenem synthetisch verbunden worden, abgibt, und zwar nur
dann, wenn das erste und zweite Prädikat zu gleicher Zeit gesetzt
werden. Sage ich, ein Mensch, der ungelehrt ist, ist nicht gelehrt, so
muß die Bedingung: zugleich, dabei stehen, denn der, so zu einer Zeit
ungelehrt ist, kann zu einer anderen gar wohl gelehrt sein. Sage ich
aber, kein ungelehrter Mensch ist gelehrt, so ist der Satz analytisch,
weil das Merkmal (der Ungelehrtheit) nunmehr den Begriff des Subjekts
mit ausmacht, und alsdann erhellt der verneinende Satz unmittelbar
aus dem Satze des Widerspruchs, ohne daß die Bedingung: zugleich,
hinzukommen darf. Dieses ist denn auch die Ursache, weswegen ich
oben die Formel desselben so verändert habe, daß die Natur eines
analytischen Satzes dadurch deutlich ausgedrückt wird."
39,"
Die Erklärung der Möglichkeit synthetischer Urteile, ist eine Aufgabe,
mit der die allgemeine Logik gar nichts zu schaffen hat, die auch
sogar ihren Namen nicht einmal kennen darf. Sie ist aber in einer
transzendentalen Logik das wichtigste Geschäft unter allen, und sogar
das einzige, wenn von der Möglichkeit synthetischer Urteile a priori
die Rede ist, imgleichen den Bedingungen und dem Umfange ihrer
Gültigkeit. Denn nach Vollendung desselben, kann sie ihrem Zwecke,
nämlich den Umfang und die Grenzen des reinen Verstandes zu bestimmen,
vollkommen ein Genüge tun."
40,"Im analytischen Urteile bleibe ich bei dem gegebenen Begriffe, um
etwas von ihm auszumachen. Soll es bejahend sein, so lege ich diesem
Begriffe nur dasjenige bei, was in ihm schon gedacht war; soll es
verneinend sein, so schließe ich nur das Gegenteil desselben von ihm
aus. In synthetischen Urteilen aber soll ich aus dem gegebenen Begriff
hinausgehen, um etwas ganz anderes, als in ihm gedacht war, mit
demselben im Verhältnis zu betrachten, welches daher niemals, weder
ein Verhältnis der Identität, noch des Widerspruchs ist, und wobei dem
Urteile an ihm selbst weder die Wahrheit, noch der Irrtum angesehen
werden kann."
41,"Also zugegeben: daß man aus einem gegebenen Begriffe hinausgehen
müsse, um ihn mit einem anderen synthetisch zu vergleichen, so ist ein
Drittes nötig, worin allein die Synthesis zweier Begriffe entstehen
kann. Was ist nun aber dieses Dritte, als das Medium aller
synthetischen Urteile? Es ist nur ein Inbegriff, darin alle unsere
Vorstellungen enthalten sind, nämlich der innere Sinn, und die Form
desselben a priori, die Zeit. Die Synthesis der Vorstellungen beruht
auf der Einbildungskraft, die synthetische Einheit derselben aber (die
zum Urteile erforderlich ist) auf der Einheit der Apperzeption. Hierin
wird also die Möglichkeit synthetischer Urteile, und da alle drei die
Quellen zu Vorstellungen a priori enthalten, auch die Möglichkeit
reiner synthetischer Urteile zu suchen sein, ja sie werden sogar aus
diesen Gründen notwendig sein, wenn eine Erkenntnis von Gegenständen
zustande kommen soll, die lediglich auf der Synthesis der
Vorstellungen beruht."
42,"Wenn eine Erkenntnis objektive Realität haben, d.i.# sich auf einen
Gegenstand beziehen, und in demselben Bedeutung und Sinn haben soll,
so muß der Gegenstand auf irgendeine Art gegeben werden können. Ohne
das sind die Begriffe leer, und man hat dadurch zwar gedacht, in
der Tat aber durch dieses Denken nichts erkannt, sondern bloß mit
Vorstellungen gespielt. Einen Gegenstand geben, wenn dieses nicht
wiederum nur mittelbar gemeint sein soll, sondern unmittelbar in der
Anschauung darstellen, ist nichts anderes, als dessen Vorstellung auf
Erfahrung (es sei wirkliche oder doch mögliche) beziehen. Selbst der
Raum und die Zeit, so rein diese Begriffe auch von allem Empirischen
sind, und so gewiß es auch ist, daß sie völlig a priori im Gemüte
vorgestellt werden, würden doch ohne objektive Gültigkeit und ohne
Sinn und Bedeutung sein, wenn ihr notwendiger Gebrauch an den
Gegenständen der Erfahrung nicht gezeigt würde, ja ihre Vorstellung
ist ein bloßes Schema, das sich immer auf die reproduktive
Einbildungskraft bezieht, welche die Gegenstände der Erfahrung
herbeiruft, ohne die sie keine Bedeutung haben würden; und so ist es
mit allen Begriffen ohne Unterschied."
43,"Die Möglichkeit der Erfahrung ist also das, was allen unseren
Erkenntnissen a priori objektive Realität gibt. Nun beruht Erfahrung
auf der synthetischen Einheit der Erscheinungen, d.i.# auf einer
Synthesis nach Begriffen vom Gegenstande der Erscheinungen überhaupt,
ohne welche sie nicht einmal Erkenntnis, sondern eine Rhapsodie von
Wahrnehmungen sein würde, die sich in keinem Kontext nach Regeln eines
durchgängig verknüpften (möglichen) Bewußtseins, mithin auch nicht zur
transzendentalen und notwendigen Einheit der Apperzeption, zusammen
schicken würden. Die Erfahrung hat also Prinzipien ihrer Form a priori
zum Grunde liegen, nämlich allgemeine Regeln der Einheit in der
Synthesis der Erscheinungen, deren objektive Realität, als notwendige
Bedingungen, jederzeit in der Erfahrung, ja sogar ihrer Möglichkeit
gewiesen werden kann. Außer dieser Beziehung aber sind synthetische
Sätze a priori gänzlich unmöglich, weil sie kein Drittes, nämlich
reinen Gegenstand haben, an dem die synthetische Einheit ihrer
Begriffe objektive Realität dartun könnte."
44,"Ob wir daher gleich vom Raume überhaupt, oder den Gestalten, welche
die produktive Einbildungskraft in ihm verzeichnet, so vieles a priori
in synthetischen Urteilen erkennen, so, daß wir wirklich hierzu gar
keiner Erfahrung bedürfen; so würde doch dieses Erkenntnis gar nichts,
sondern die Beschäftigung mit einem bloßen Hirngespinst sein, wäre
der Raum nicht, als Bedingung der Erscheinungen, welche den Stoff
zur äußeren Erfahrung ausmachen, anzusehen; daher sich jene reinen
synthetischen Urteile, obzwar nur mittelbar, auf mögliche Erfahrung
oder vielmehr auf dieser ihre Möglichkeit selbst beziehen, und darauf
allein die objektive Gültigkeit ihrer Synthesis gründen."
45,"Da also Erfahrung, als empirische Synthesis, in ihrer Möglichkeit die
einzige Erkenntnisart ist, welche aller anderen Synthesis Realität
gibt, so hat diese als Erkenntnis a priori auch nur dadurch Wahrheit,
(Einstimmung mit dem Objekt,) daß sie nichts weiter enthält, als was
zur synthetischen Einheit der Erfahrung überhaupt notwendig ist."
46,"Das oberste Principium aller synthetischen Urteile ist also: ein jeder
Gegenstand steht unter den notwendigen Bedingungen der synthetischen
Einheit des Mannigfaltigen der Anschauung in einer möglichen
Erfahrung."
47,"Auf solche Weise sind synthetische Urteile a priori möglich, wenn wir
die formalen Bedingungen der Anschauung a priori, die Synthesis der
Einbildungskraft, und die notwendige Einheit derselben in einer
transzendentalen Apperzeption, auf ein mögliches Erfahrungserkenntnis
überhaupt beziehen, und sagen: die Bedingungen der Möglichkeit der
Erfahrung überhaupt sind zugleich Bedingungen der Möglichkeit der
Gegenstände der Erfahrung, und haben darum objektive Gültigkeit in
einem synthetischen Urteile a priori."
48,"Daß überhaupt irgendwo Grundsätze stattfinden, das ist lediglich dem
reinen Verstande zuzuschreiben, der nicht allein das Vermögen der
Regeln ist, in Ansehung dessen, was geschieht, sondern selbst der
Quell der Grundsätze, nach welchem alles (was uns nur als Gegenstand
vorkommen kann) notwendig unter Regeln steht, weil, ohne solche,
den Erscheinungen niemals Erkenntnis eines ihnen korrespondierenden
Gegenstandes zukommen könnte. Selbst Naturgesetze, wenn sie als
Grundgesetze des empirischen Verstandesgebrauchs betrachtet werden,
führen zugleich einen Ausdruck der Notwendigkeit, mithin wenigstens
die Vermutung einer Bestimmung aus Gründen, die a priori und vor aller
Erfahrung gültig sind, bei sich. Aber ohne Unterschied stehen alle
Gesetze der Natur unter höheren Grundsätzen des Verstandes, indem sie
diese nur auf besondere Fälle der Erscheinung anwenden. Diese allein
geben also den Begriff, der die Bedingung und gleichsam den Exponenten
zu einer Regel überhaupt enthält, Erfahrung aber gibt den Fall, der
unter der Regel steht."
49,"Daß man bloß empirische Grundsätze für Grundsätze des reinen
Verstandes, oder auch umgekehrt ansehe, deshalb kann wohl eigentlich
keine Gefahr sein; denn die Notwendigkeit nach Begriffen, welche die
letztere auszeichnet, und deren Mangel in jedem empirischen Satze, so
allgemein er auch gelten mag, leicht wahrgenommen wird, kann diese
Verwechslung leicht verhüten. Es gibt aber reine Grundsätze a priori,
die ich gleichwohl doch nicht dem reinen Verstande eigentümlich
beimessen möchte, darum, weil sie nicht aus reinen Begriffen, sondern
aus reinen Anschauungen (obgleich vermittelst des Verstandes) gezogen
sind; Verstand ist aber das Vermögen der Begriffe. Die Mathematik hat
dergleichen, aber ihre Anwendung auf Erfahrung, mithin ihre objektive
Gültigkeit, ja die Möglichkeit solcher synthetischer Erkenntnis a
priori (die Deduktion derselben) beruht doch immer auf dem reinen
Verstande."
50,"Daher werde ich unter meine Grundsätze die der Mathematik nicht
mitzählen, aber wohl diejenigen, worauf sich dieser ihre Möglichkeit
und objektive Gültigkeit a priori gründet, und die mithin als
Principium dieser Grundsätze anzusehen sind, und von Begriffen zur
Anschauung, nicht aber von der Anschauung zu Begriffen ausgehen."
51,"In der Anwendung der reinen Verstandesbegriffe auf mögliche Erfahrung
ist der Gebrauch ihrer Synthesis entweder mathematisch, oder
dynamisch: denn sie geht teils bloß auf die Anschauung, teils auf
das Dasein einer Erscheinung überhaupt. Die Bedingungen a priori der
Anschauung sind aber in Ansehung einer möglichen Erfahrung durchaus
notwendig, die des Daseins der Objekte einer möglichen empirischen
Anschauung an sich nur zufällig. Daher werden die Grundsätze des
mathematischen Gebrauchs unbedingt notwendig d.i.# apodiktisch lauten,
die aber des dynamischen Gebrauchs werden zwar auch den Charakter
einer Notwendigkeit a priori, aber nur unter der Bedingung des
empirischen Denkens in einer Erfahrung, mithin nur mittelbar und
indirekt bei sich führen, folglich diejenige unmittelbare Evidenz
nicht enthalten, (obzwar ihrer auf Erfahrung allgemein bezogenen
Gewißheit unbeschadet,) die jenen eigen ist. Doch dies wird sich beim
Schlusse dieses Systems von Grundsätzen besser beurteilen lassen."
52,"Die Tafel der Kategorien gibt uns die ganz natürliche Anweisung zur
Tafel der Grundsätze, weil diese doch nichts anderes, als Regeln des
objektiven Gebrauchs der ersteren sind. Alle Grundsätze des reinen
Verstandes sind demnach Axiome der Anschauung, Antizipationen der 
Wahrnehmung, Analogien der Erfahrung, Postulate des empirischen Denkens überhaupt"
53,"Diese Benennungen habe ich mit Vorsicht gewählt, um die Unterschiede
in Ansehung der Evidenz und der Ausübung dieser Grundsätze nicht
unbemerkt zu lassen. Es wird sich aber bald zeigen: daß, was sowohl
die Evidenz, als die Bestimmung der Erscheinungen a priori, nach den
Kategorien der Größe und der Qualität (wenn man lediglich auf die
Form der letzteren acht hat) betrifft, die Grundsätze derselben sich
darin von den zwei übrigen namhaft unterscheiden; indem jene einer
intuitiven, diese aber einer bloß diskursiven, obzwar beiderseits
einer völligen Gewißheit fähig sind. Ich werde daher jene die
mathematischen, diese die dynamischen Grundsätze nennen*. Man wird
aber wohl bemerken: daß ich hier ebensowenig die Grundsätze der
Mathematik in Einem Falle, als die Grundsätze der allgemeinen
(physischen) Dynamik im anderen, sondern nur die des reinen Verstandes
im Verhältnis auf den inneren Sinn (ohne Unterschied der darin
gegebenen Vorstellungen) vor Augen habe, dadurch denn jene insgesamt
ihre Möglichkeit bekommen. Ich benenne sie also mehr in Betracht der
Anwendung, als um ihres Inhalts willen, und gehe nun zur Erwägung
derselben in der nämlichen Ordnung, wie sie in der Tafel vorgestellt
werden."
54,"* Alle Verbindung (conjunctio) ist entweder Zusammensetzung
  (compositio) oder Verknüpfung (nexus). Die erstere ist die Synthesis
  des Mannigfaltigen, was nicht notwendig zueinander gehört, wie z.B.
  die zwei Triangel, darin ein Quadrat durch die Diagonale geteilt
  wird, für sich nicht notwendig zueinander gehören, und dergleichen
  ist die Synthesis des Gleichartigen in allem, was mathematisch
  erwogen werden kann, (welche Synthesis wiederum in die der
  Aggregation und Koalition eingeteilt werden kann, davon die erstere
  auf extensive, die andere auf intensive Größen gerichtet ist). Die
  zweite Verbindung (nexus) ist die Synthesis des Mannigfaltigen,
  sofern es notwendig zueinander gehört, wie z.B. das Akzidens zu
  irgendeiner Substanz, oder die Wirkung zu der Ursache, - mithin auch
  als ungleichartig doch a priori verbunden vorgestellt wird, welche
  Verbindung, weil sie nicht willkürlich ist, ich darum dynamisch
  nenne, weil sie die Verbindung des Daseins des Mannigfaltigen
  betrifft (die wiederum in die physische der Erscheinungen
  untereinander, und metaphysische ihre Verbindung im
  Erkenntnisvermögen a priori, eingeteilt werden, können."
55,Das Prinzip derselben ist: Alle Anschauungen sind extensive Größen.
56,"Alle Erscheinungen enthalten, der Form nach, eine Anschauung im Raum
und Zeit, welche ihnen insgesamt a priori zum Grunde liegt. Sie können
also nicht anders apprehendiert, d.i.# ins empirische Bewußtsein
aufgenommen werden, als durch die Synthesis des Mannigfaltigen,
wodurch die Vorstellungen eines bestimmten Raumes oder Zeit erzeugt
werden, d.i.# durch die Zusammensetzung des Gleichartigen und
das Bewußtsein der synthetischen Einheit dieses Mannigfaltigen
(Gleichartigen). Nun ist das Bewußtsein des mannigfaltigen
Gleichartigen in der Anschauung überhaupt, sofern dadurch die
Vorstellung eines Objekts zuerst möglich wird, der Begriff einer
Größe (quanti). Also ist selbst die Wahrnehmung eines Objekts,
als Erscheinung, nur durch dieselbe synthetische Einheit des
Mannigfaltigen der gegebenen sinnlichen Anschauung möglich, wodurch
die Einheit der Zusammensetzung des mannigfaltigen Gleichartigen
im Begriffe einer Größe gedacht wird; d.i.# die Erscheinungen sind
insgesamt Größen, und zwar extensive Größen, weil sie als Anschauungen
im Raume oder der Zeit durch dieselbe Synthesis vorgestellt werden
müssen, als wodurch Raum und Zeit überhaupt bestimmt werden."
57,"Eine extensive Größe nenne ich diejenige, in welcher die Vorstellung
der Teile die Vorstellung des Ganzen möglich macht, (und also
notwendig vor dieser vorhergeht). Ich kann mir keine Linie, so klein
sie auch sei, vorstellen, ohne sie in Gedanken zu ziehen, d.i.# von
einem Punkte alle Teile nach und nach zu erzeugen, und dadurch
allererst diese Anschauung zu verzeichnen. Ebenso ist es auch mit
jeder auch der kleinsten Zeit bewandt. Ich denke mir darin nur den
sukzessiven Fortgang von einem Augenblick zum anderen, wo durch alle
Zeitteile und deren Hinzutun endlich eine bestimmte Zeitgröße erzeugt
wird. Da die bloße Anschauung an allen Erscheinungen entweder der
Raum, oder die Zeit ist, so ist jede Erscheinung als Anschauung eine
extensive Größe, indem sie nur durch sukzessive Synthesis (von Teil
zu Teil) in der Apprehension erkannt werden kann. Alle Erscheinungen
werden demnach schon als Aggregate (Menge vorher gegebener Teile)
angeschaut, welches eben nicht der Fall bei jeder Art Größen,
sondern nur derer ist, die uns extensiv als solche vorgestellt und
apprehendiert werden."
